iter	Passed	Remaining
501	78616	1017630
502	78839	1018328
503	79005	1018289
504	79219	1018868
505	79421	1019290
506	79666	1020265
507	79885	1020900
508	80087	1021311
509	80282	1021639
510	80472	1021892
511	80700	1022628
512	80886	1022830
513	81093	1023293
514	81289	1023619
515	81488	1023976
516	81696	1024441
517	81896	1024813
518	82099	1025220
519	82285	1025408
520	82483	1025739
521	82701	1026320
522	82914	1026840
523	83108	1027117
524	83307	1027456
525	83487	1027564
526	83703	1028113
527	83908	1028519
528	84124	1029048
529	84318	1029324
530	84505	1029507
531	84693	1029690
532	84900	1030112
533	85097	1030411
534	85305	1030843
535	85508	1031208
536	85721	1031686
537	85902	1031792
538	86098	1032064
539	86296	1032362
540	86489	1032603
541	86688	1032904
542	86893	1033284
543	87105	1033733
544	87281	1033769
545	87513	1034459
546	87716	1034802
547	87929	1035261
548	88152	1035834
549	88348	1036089
550	88542	1036314
551	88746	1036667
552	88959	1037105
553	89177	1037615
554	89404	1038220
555	89615	1038634
556	89815	1038926
557	90003	1039071
558	90213	1039477
559	90400	1039608
560	90633	1040265
561	90835	1040569
562	91044	1040947
563	91256	1041364
564	91459	1041667
565	91653	1041873
566	91849	1042093
567	92045	1042323
568	92268	1042846
569	92467	1043094
570	92677	1043475
571	92864	1043593
572	93069	1043909
573	93268	1044148
574	93478	1044521
575	93698	1045002
576	93899	1045261
577	94116	1045703
578	94329	1046099
579	94532	1046381
580	94747	1046793
581	94945	1047008
582	95144	1047241
583	95340	1047436
584	95532	1047589
585	95720	1047698
586	95924	1047979
587	96157	1048573
588	96383	1049089
589	96585	1049344
590	96811	1049856
591	97022	1050205
592	97228	1050494
593	97430	1050739
594	97642	1051088
595	97854	1051444
596	98046	1051577
597	98252	1051861
598	98474	1052309
599	98685	1052643
600	98883	1052834
601	99083	1053054
602	99287	1053308
603	99483	1053471
604	99699	1053853
605	99899	1054057
606	100099	1054259
607	100324	1054728
608	100392	1053539
609	100449	1052250
610	100528	1051192
611	100610	1050161
612	100687	1049091
613	100750	1047870
614	100841	1046950
615	100923	1045934
616	101005	1044927
617	101077	1043814
618	101223	1043471
619	101303	1042445
620	101376	1041350
621	101450	1040272
622	101517	1039125
623	101599	1038138
624	101666	1036994
625	101743	1035967
626	101832	1035050
627	101916	1034094
628	101983	1032967
629	102053	1031874
